期数,序列数,BV号,视频标题,作者,播放量,点赞数,弹幕数,评论数,收藏数,分享数
343,14,BV1cZ4XzBEjd,几个人打你完整版,中午吃菠萝,5197676,275181,2501,5388,57576,53127
343,15,BV13442zvEgd,【2025芙宁娜生日会】吃这么多蛋糕，会长胖的啦,叶玲秋雨,1181839,209282,60632,5115,98663,9745
343,16,BV1YZ4JzbEMn,《卡厄思梦境》首曝PV | 领航者，绝望之后，你是唯一的底牌,卡厄思梦境,5217241,87038,1254,2525,26845,3846
343,17,BV1MV4wziEnn,【大鸣王潮1566】再见了，所有的轮椅,寞桀緣才,1384638,103066,6455,5681,14946,5898
343,18,BV1L84XzoE2a,关于为了波多黎各独立去刺杀总统这件事【神奇组织40】,小约翰可汗,3716605,197249,23982,6635,41217,4850
343,19,BV1GhxyzcEa9,【高燃】一个视频带你看完不同年代的打戏！,含亮老师,5986753,427025,15268,5922,101496,11031
343,20,BV11w4Nz6EP8,自制导弹WIFI？打击覆盖范围全家！让网速原地起飞！,苏打baka,1360554,67640,3347,1465,25567,1572
343,21,BV13M4PzmEjW,《你和你的掩体一样可笑》,伤心欲茄222,6614114,529949,2921,7232,58560,8260
343,22,BV1CB4yzJEaH,【NMIXX】“Blue Valentine” M/V,NMIXX,1723518,131203,159233,344497,51870,31293
343,23,BV1en4AzSE1Y,火柴人 VS 我的世界系列 第三十七集 硬核猎人游戏（Hardcore Manhunt）,火柴人AlanBecker,6206133,217958,38152,5258,128629,5712
343,24,BV1ba4vzaEkP,猫 中 有 善 口 技 者,喵与茶,3844124,132022,617,2193,33622,17786
343,25,BV14U4uzRE1X,美元暴跌的背后...,小Lin说,2772350,116193,7585,3910,26882,13146
343,26,BV1sc42zpEE6,全部完攀！人类还是一如既往低估了神力,Kings今天上墙没,10493653,246837,3702,2793,47705,14978
343,27,BV1MG4wzTEod,汽车出口第一，下一个要摘的工业明珠是什么？,小王Albert,1216080,46204,3967,2420,6031,885
343,28,BV14wWazyEBt,《明日方舟》× 三丽鸥家族「温情时光」合作宣传PV,明日方舟,1443443,109592,12015,10935,14385,48261
343,29,BV14V4izeECZ,自学动画 爆肝俩月 自创一集《哆啦A梦》,KANGBAS卓拉,3073908,259323,3225,4367,52273,13187
343,30,BV1LT4JzeE95,八旬老汉梦碎和平奖，七胜召唤难为挪威人,麻薯波比呀,2350849,114875,11473,4227,11061,2583
343,31,BV1Qn4HzaE1T,《鸣潮》过场动画 | 神不在的黎明,鸣潮,1504301,96404,16520,11687,33799,15057
343,32,BV1fx4uz6Ejd,冰与火之歌 阴阳师COSPLAY大制作来了！,萧影殿下,1283774,21764,590,1131,5633,1943
343,33,BV1Ap4iztEDn,用¥999一公斤的米，焖现采的野生菌，能有多好吃！,绵羊料理,6513226,165543,12783,3622,36028,3336
343,34,BV1Ck4czoETC,“二十多年前的台词，竟然能如此超前”,洛温阿特金森,2283082,239288,28161,6617,78908,11149
343,35,BV1WLWizHE89,B站，我们来啦！点燃专属烟花，共庆梦幻时刻！,迪士尼影业,1574924,124231,82157,5530,33515,6363
343,36,BV1wk4HzEEWW,全场尖叫！Lucifer动作丝滑出残影！隔壁连都在拍！,我心中的空空空,4211203,356098,761,2548,62516,4562
343,37,BV1n14czRE2o,"凯尔特史诗-《大北境，我的家乡》Northlands, my heart's own home",梨茗子,3635558,245116,9296,13033,117373,90444
343,38,BV1Xb4xzkETY,北方轮渡真的有9层？！和美少女cos轻音少女,河野华,1825394,66400,2601,1035,16048,1529
343,39,BV18A4FzvEeS,从小剧场到Livehouse，于谦挑战“地下偶像”营业！【多新鲜呐ep06 | 于谦的视频播客】,于谦,2077134,60196,9596,3452,17690,9179
343,40,BV1uP4nzxExX,《原神》「空月之歌·复演」版本PV：「回望湮灭的月光」,原神,2346691,150870,25883,9840,22511,7683
343,41,BV1ks4LzvEQT,一口气看懂药企估值！南京小药厂股价暴涨50倍的秘密,咸鱼堡的医药海滩,995008,26555,417,602,9230,1120
343,42,BV1Kv42zFECt,S15应援曲《联盟的从前》,蔚蓝边际,1698306,73130,4345,9252,13703,13583
343,43,BV1RW4qz1EKf,「小白」荣耀Magic8 Pro测评：影像站起来了？,小白测评,1431565,14987,5409,3918,2047,1764
343,44,BV1B149zvExr,五星神剧！从街头杀手，到地下皇帝，两代黑道教父的崛起和陨落，剧情真实到令人揪心！,竖了个三,7588348,106200,4985,951,72221,4714
343,45,BV1MN4nzRECo,假如古人玩儿走秀 | 大唐女儿行 | 人物篇,o小庄o,659876,40235,164,181,25923,385
342,1,BV1YAHAzeELU,未必船长的冒险故事 大合集,果汁猫meme,15552231,743769,31319,6840,638517,21457
342,2,BV1JTHVzrEzm,和粉丝“坦诚相见”？影视飓风1200万粉丝Q&A！,影视飓风,9004829,736267,121646,13529,200474,17723
342,3,BV1trxyzWE92,【漫士】2025诺奖：穿墙术成真，啥是量子隧穿？,漫士沉思录,1266452,52612,3016,3139,30882,9349
342,4,BV1Cqx4zAEmA,当我陪一位盲人女孩来到冰岛...,超Carry的柴西,6736403,758419,6678,5240,136953,15273
342,5,BV1T7xazHExs,“消失的下雨天，我好想再淋一遍”,音乐小帝滕哥,9731663,961429,129225,19559,97828,10654
342,6,BV1JUHVzCEsD,一个玩具吹上了天？对不起我不感激,狼狼Vauk,8854118,579506,3236,14293,95860,8406
342,7,BV1hSxuzcEk5,霍格沃兹的金丹期交换生！,伶舟梨,5788144,356073,9145,5815,132042,16825
342,8,BV1vhxvzuEdZ,深蓝：正义的乌鲁鲁环节要开始咯【三角洲动画】,神·潜行瞬杀,6641496,395350,7231,9251,237483,25928
342,9,BV13CxDzjED7,你就是童话里的公主~,徐大花xudahua,6878490,322515,2028,4712,100958,8064
342,10,BV1spxXzBE4h,蹬着公交去拉萨！,许主任啊啊啊啊,9222536,524538,1761,4503,47720,30070
342,11,BV1HrHwzUEr5,【原创音乐】我的朋友给我写了一首歌...,下午茶点-,3751287,563775,26438,14613,255596,4888
342,12,BV1qBH5zuENK,惊天动地旅行团（2）,小潮院长,8001343,845750,38209,11488,207264,21413
342,13,BV1CExjzvEpQ,不要啊我再也不敢了！2025年7月新番完结吐槽！【泛式】,泛式,3421186,312516,33508,10579,85510,17603
342,14,BV1gmxEzWED8,人生终极目标是上火星?丨深度对话Tim·十年之约,-LKs-,3210848,226544,57700,10182,63784,13190
342,15,BV1nMxMzgE4B,温驯,mili弥里,3099569,505055,2092,5221,99324,11732
342,16,BV1ZoxMziE4J,用时半年复原了一座广寒宫，并且把它送到了月亮上,南翔不爱吃饭,7331441,439734,19970,2254,196901,5555
342,17,BV1PexmzdExk,看到战绩的超能力 大合集,猫meme生活日记y,13857079,585120,5682,1922,771402,5028
342,18,BV1vqHGzwEMS,传统口技表演《雷雨》,BBoxer酋长,6850024,525240,62328,10491,80873,30509
342,19,BV12yHKzAEx7,【速凌】当剩饭鼠鼠遇上老板之后....,高司令-速凌电竞,9458297,421927,54418,11278,193530,7660
342,20,BV1RGxszrENT,这才是《游京》的原版MV！,妙手回春杨某人,5635005,547692,152739,8733,161829,28710
